Avgc,,Betweenness,,,,,,Eigenvector,,,,,,PageRank,,,,
,,Seed,25%,50%,75%,100%,,Seed,25%,50%,75%,100%,,Seed,25%,50%,75%,100%
"0.0034461257053
",,100,20367,28354,36569,86051,,100,24034,32270,40444,90870,,85,19653,27646,35775,95551
"0.00364410050881
",,95,21454,29847,38217,89080,,85,26625,35180,43224,94172,,80,21064,29170,37231,96846
"0.0049446046707
",,65,23438,31682,39859,99876,,100,23718,31717,39804,91073,,95,20207,27997,35773,95259
"0.0041409323696
",,100,21401,29553,37656,95717,,100,23771,31926,39954,90812,,95,18928,26868,35131,90751
"0.00414285620806
",,100,20570,28451,36673,99192,,95,23162,31164,39275,95609,,95,19678,27663,35586,95497
"0.00346726864308
",,100,20842,29044,37541,96845,,95,24180,32376,40828,93536,,90,19973,28018,35791,85940
"0.00490402398737
",,85,21029,29108,37409,98749,,90,23125,30939,38819,92094,,70,22754,30354,38297,99917
"0.00473876246465
",,85,20749,28792,36689,83378,,100,23892,31883,39667,95212,,90,19809,27594,35730,89009
"0.00402065356647
",,95,19651,27851,35982,90471,,100,22498,30908,38734,96632,,65,21900,29934,38200,93829
"0.00352604857895
",,95,20196,28575,36923,93370,,85,25733,34252,42449,95542,,80,21330,29510,37713,86724
"0.00397831435309
",,85,20844,28903,36979,95460,,100,22897,30780,39155,90393,,65,23149,31437,39234,88789
"0.00399988294738
",,80,22489,30747,39218,84799,,70,24793,33062,41194,90725,,75,20746,28905,37171,85406
"0.00464972043848
",,100,19928,27809,35657,95271,,100,22904,31197,39296,98486,,100,19420,27664,35877,91490
"0.00489544383257
",,55,26227,34032,42544,90709,,95,23986,32293,40362,97587,,100,18735,26790,34652,84856
"0.00303356235795
",,100,21130,29485,37393,95996,,85,25725,33768,41803,90190,,100,19017,26870,35317,86788
"0.00336091667037
",,95,20623,28727,36897,97709,,95,23808,31926,40174,98736,,95,18959,27227,35483,91866
"0.00473898302755
",,70,22734,30805,39004,92575,,85,24349,32482,40492,94235,,75,20761,28729,36460,91472
"0.00427264465787
",,95,20779,28976,36782,89573,,75,26218,34158,42171,92835,,100,20079,27888,36205,86182
"0.00474659973977
",,100,20472,28528,36357,90854,,90,22729,30844,38675,93240,,65,22440,30662,38692,95081
"0.0044148152341
",,85,20733,28680,36755,93391,,85,25299,33433,41588,96506,,95,19929,27853,35765,92710
"0.00371028451273
",,90,21545,29675,37932,,,95,23638,31648,39686,98924,,90,21483,29430,37627,96347
"0.0036744052932
",,85,21862,29947,38084,85073,,90,23457,31965,40060,95635,,100,18909,27132,35278,83372
"0.00349453444792
",,90,20109,28316,36487,96084,,80,26110,34431,42266,86978,,90,21240,29221,37536,83813
"0.00438298753855
",,100,21276,29241,37050,92972,,90,23744,31650,39312,87127,,75,20460,28609,36597,89126
"0.00365785091231
",,75,23009,31176,39318,95284,,90,25287,33575,41665,94413,,90,19254,27495,35662,99789
"0.00393074438421
",,100,20204,28304,36353,93511,,85,24709,32606,40559,93313,,80,20210,28624,36717,95893
"0.00404814755753
",,95,20506,28464,36374,88165,,100,23697,31646,39543,93711,,100,19093,26969,34852,92367
"0.00324510132232
",,100,20620,28916,37048,82163,,90,24995,33430,41655,91543,,75,21172,29079,37408,97555
